Entity,Code,Year,Life expectancy
France,FRA,1816,40.1
France,FRA,1817,39.23
France,FRA,1818,38.6
France,FRA,1819,37.32
France,FRA,1820,39.28
France,FRA,1821,39.88
France,FRA,1822,38.37
France,FRA,1823,40.04
France,FRA,1824,39.21
France,FRA,1825,38.58
France,FRA,1826,37.8
France,FRA,1827,39.41
France,FRA,1828,37.6
France,FRA,1829,39.44
France,FRA,1830,39.63
France,FRA,1831,39.73
France,FRA,1832,35.87
France,FRA,1833,38.88
France,FRA,1834,35.09
France,FRA,1835,39.52
France,FRA,1836,42
France,FRA,1837,39.42
France,FRA,1838,39.37
France,FRA,1839,40.95
France,FRA,1840,40.41
France,FRA,1841,40.71
France,FRA,1842,40.03
France,FRA,1843,40.79
France,FRA,1844,42.33
France,FRA,1845,43.61
France,FRA,1846,40.7
France,FRA,1847,40.45
France,FRA,1848,40.33
France,FRA,1849,35.95
France,FRA,1850,43.31
France,FRA,1851,41.8
France,FRA,1852,41.35
France,FRA,1853,42.55
France,FRA,1854,36.16
France,FRA,1855,37.56
France,FRA,1856,40.19
France,FRA,1857,39.6
France,FRA,1858,39.71
France,FRA,1859,35.33
France,FRA,1860,43.34
France,FRA,1861,40.58
France,FRA,1862,42.7
France,FRA,1863,41.82
France,FRA,1864,42.06
France,FRA,1865,40.2
France,FRA,1866,41.82
France,FRA,1867,42.41
France,FRA,1868,40.29
France,FRA,1869,41.12
France,FRA,1870,36.52
France,FRA,1871,29.74
France,FRA,1872,42.5
France,FRA,1873,41.87
France,FRA,1874,44.29
France,FRA,1875,43.19
France,FRA,1876,43.59
France,FRA,1877,44.29
France,FRA,1878,43.37
France,FRA,1879,43.98
France,FRA,1880,42.79
France,FRA,1881,43.48
France,FRA,1882,43.14
France,FRA,1883,43.27
France,FRA,1884,42.46
France,FRA,1885,43.94
France,FRA,1886,43.17
France,FRA,1887,43.72
France,FRA,1888,44.15
France,FRA,1889,45.54
France,FRA,1890,43.43
France,FRA,1891,44.11
France,FRA,1892,43.56
France,FRA,1893,43.55
France,FRA,1894,45.49
France,FRA,1895,45.26
France,FRA,1896,47.49
France,FRA,1897,47.88
France,FRA,1898,46.01
France,FRA,1899,45.17
France,FRA,1900,45.1
France,FRA,1901,47
France,FRA,1902,47.98
France,FRA,1903,48.4
France,FRA,1904,48.07
France,FRA,1905,48.38
France,FRA,1906,47.73
France,FRA,1907,48.3
France,FRA,1908,49.29
France,FRA,1909,50.01
France,FRA,1910,51.35
France,FRA,1911,48.21
France,FRA,1912,51.55
France,FRA,1913,51.36
France,FRA,1914,38.23
France,FRA,1915,36.55
France,FRA,1916,39.75
France,FRA,1917,42.97
France,FRA,1918,34.84
France,FRA,1919,47.14
France,FRA,1920,51.82
France,FRA,1921,52.69
France,FRA,1922,54.89
France,FRA,1923,54.59
France,FRA,1924,55.19
France,FRA,1925,54.35
France,FRA,1926,53.96
